flight_number,launch_year,latitude,longitude,payload_mass_kg,landing_success,landing_type,reused,number_of_cores,number_of_payloads,rocket_name_Falcon Heavy,launch_site_KSC LC 39A,launch_site_VAFB SLC 4E,orbit_GEO,orbit_GTO,orbit_HCO,orbit_HEO,orbit_ISS,orbit_LEO,orbit_MEO,"orbit_MEO,LEO",orbit_PO,orbit_SSO,orbit_TLI,orbit_VLEO,"orbit_VLEO,LEO","orbit_VLEO,SSO"
100,2020,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
101,2020,28.5618571,-80.577366,1600.0,1,RTLS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
102,2020,28.6080585,-80.6039558,15600.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
103,2020,28.6080585,-80.6039558,15600.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
104,2020,28.6080585,-80.6039558,15600.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
105,2020,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
106,2020,28.5618571,-80.577366,3681.0,1,ASDS,0,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
107,2020,28.6080585,-80.6039558,0.0,1,ASDS,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
108,2020,34.632093,-120.610829,1440.0,1,RTLS,0,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
109,2020,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
110,2020,28.6080585,-80.6039558,2972.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
111,2020,28.5618571,-80.577366,7000.0,1,ASDS,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
113,2021,28.5618571,-80.577366,3500.0,1,ASDS,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
114,2021,28.6080585,-80.6039558,15600.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
115,2021,28.5618571,-80.577366,0.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
116,2021,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
117,2021,28.5618571,-80.577366,15600.0,0,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
118,2021,28.6080585,-80.6039558,15600.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
119,2021,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
120,2021,28.6080585,-80.6039558,15600.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
121,2021,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
122,2021,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
123,2021,28.6080585,-80.6039558,0.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
124,2021,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
125,2021,28.6080585,-80.6039558,15600.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
126,2021,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
127,2021,28.6080585,-80.6039558,13632.0,1,ASDS,1,1,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
128,2021,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
129,2021,28.6080585,-80.6039558,3328.0,1,ASDS,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
130,2021,28.5618571,-80.577366,7000.0,1,ASDS,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
131,2021,28.5618571,-80.577366,3681.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
132,2021,28.5618571,-80.577366,0.0,1,RTLS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
133,2021,28.6080585,-80.6039558,0.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
134,2021,34.632093,-120.610829,15600.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
135,2021,28.6080585,-80.6039558,0.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
136,2021,28.6080585,-80.6039558,12519.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
137,2021,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
138,2021,34.632093,-120.610829,670.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
139,2021,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
140,2021,28.6080585,-80.6039558,330.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
141,2021,34.632093,-120.610829,13260.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
